"age","status","situation_affected","frequency","area","year","percent_affected"
"0-23","registered","Growth Monitoring (New) who were Underweight","2","70803 Godawari Municipality","Shrawan 2074 to Asar 2075","5.5"
"18-50","done","institutional deliveries","51106 Nepalganj Sub-Metropolitan City","Shrawan 2073 to Asar 2074","232.6"
"18-50","done","institutional deliveries","51106 Nepalganj Sub-Metropolitan City","Shrawan 2074 to Asar 2075","245.6"
"18-50","done","institutional deliveries","30703 Madhyapur Thimi Municipality","Shrawan 2073 to Asar 2074","8.1"
"18-50","done","institutional deliveries","30703 Madhyapur Thimi Municipality","Shrawan 2074 to Asar 2075","11.1"
"18-50","done","institutional deliveries","70803 Godawari Municipality","Shrawan 2073 to Asar 2074","35.0"
"18-50","done","institutional deliveries","70803 Godawari Municipality","Shrawan 2074 to Asar 2075","33.5"
"18-50","done","pregnant women who had four ANC checkups as per  protocol (4th, 6th, 8th and 9th month)","51106 Nepalganj Sub-Metropolitan City","Shrawan 2073 to Asar 2074","43.6"
"18-50","done","pregnant women who had four ANC checkups as per  protocol (4th, 6th, 8th and 9th month)","51106 Nepalganj Sub-Metropolitan City","Shrawan 2074 to Asar 2075","59.7"
"18-50","done","pregnant women who had four ANC checkups as per  protocol (4th, 6th, 8th and 9th month)","30703 Madhyapur Thimi Municipality","Shrawan 2073 to Asar 2074","18.0"
"18-50","done","pregnant women who had four ANC checkups as per  protocol (4th, 6th, 8th and 9th month)","30703 Madhyapur Thimi Municipality","Shrawan 2074 to Asar 2075","24.2"
"18-50","done","pregnant women who had four ANC checkups as per  protocol (4th, 6th, 8th and 9th month)","70803 Godawari Municipality","Shrawan 2073 to Asar 2074","64.7"
"18-50","done","pregnant women who had four ANC checkups as per  protocol (4th, 6th, 8th and 9th month)","70803 Godawari Municipality","Shrawan 2074 to Asar 2075","54.1"
"18-50","done","women who had four ANC check-ups as per protocol (4th, 6th, 8th and 9th months) and delivered in a health facility)","51106 Nepalganj Sub-Metropolitan City","Shrawan 2073 to Asar 2074","43.6"
"18-50","done","women who had four ANC check-ups as per protocol (4th, 6th, 8th and 9th months) and delivered in a health facility)","51106 Nepalganj Sub-Metropolitan City","Shrawan 2074 to Asar 2075","59.7"
"18-50","done","women who had four ANC check-ups as per protocol (4th, 6th, 8th and 9th months) and delivered in a health facility)","30703 Madhyapur Thimi Municipality","Shrawan 2073 to Asar 2074","18.0"
"18-50","done","women who had four ANC check-ups as per protocol (4th, 6th, 8th and 9th months) and delivered in a health facility)","30703 Madhyapur Thimi Municipality","Shrawan 2074 to Asar 2075","24.2"
"18-50","done","women who had four ANC check-ups as per protocol (4th, 6th, 8th and 9th months) and delivered in a health facility)","70803 Godawari Municipality","Shrawan 2073 to Asar 2074","64.7"
"18-50","done","women who had four ANC check-ups as per protocol (4th, 6th, 8th and 9th months) and delivered in a health facility)","70803 Godawari Municipality","Shrawan 2074 to Asar 2075","54.1"
"18-50","done","women who had 3 PNC check-ups as per protocol (1st within 24 hours, 2nd within 72 hours and 3rd within 7 days of delivery)","51106 Nepalganj Sub-Metropolitan City","Shrawan 2073 to Asar 2074","4.3"
"18-50","done","women who had 3 PNC check-ups as per protocol (1st within 24 hours, 2nd within 72 hours and 3rd within 7 days of delivery)","51106 Nepalganj Sub-Metropolitan City","Shrawan 2074 to Asar 2075","3.9"
"18-50","done","women who had 3 PNC check-ups as per protocol (1st within 24 hours, 2nd within 72 hours and 3rd within 7 days of delivery)","30703 Madhyapur Thimi Municipality","Shrawan 2073 to Asar 2074","4.5"
"18-50","done","women who had 3 PNC check-ups as per protocol (1st within 24 hours, 2nd within 72 hours and 3rd within 7 days of delivery)","30703 Madhyapur Thimi Municipality","Shrawan 2074 to Asar 2075","13.1"
"18-50","done","women who had 3 PNC check-ups as per protocol (1st within 24 hours, 2nd within 72 hours and 3rd within 7 days of delivery)","70803 Godawari Municipality","Shrawan 2073 to Asar 2074","21.9"
"18-50","done","women who had 3 PNC check-ups as per protocol (1st within 24 hours, 2nd within 72 hours and 3rd within 7 days of delivery)","70803 Godawari Municipality","Shrawan 2074 to Asar 2075","18.4"
